scenario,train_size,test_size,model,akurasi,f1_score,recall,precision,cv_mean,cv_std
90/10,0.9,0.1,Logistic Regression,0.994,0.9968553459119497,0.9968553459119497,0.9968553459119497,0.9929,0.0014628738838327944
90/10,0.9,0.1,Decision Tree,0.982,0.990546218487395,0.9884696016771488,0.9926315789473684,0.9841999999999999,0.002501999200639361
90/10,0.9,0.1,Random Forest,0.99,0.9947589098532494,0.9947589098532494,0.9947589098532494,0.9906,0.0023108440016582892
80/20,0.8,0.2,Logistic Regression,0.9905,0.9950248756218906,0.9952854897852279,0.9947643979057592,0.9929,0.0014628738838327944
80/20,0.8,0.2,Decision Tree,0.9825,0.9908352971982194,0.9910948140387638,0.9905759162303664,0.9841999999999999,0.002501999200639361
80/20,0.8,0.2,Random Forest,0.99,0.9947643979057592,0.9952854897852279,0.9942438513867086,0.9906,0.0023108440016582892
70/30,0.7,0.3,Logistic Regression,0.992,0.9958085923856095,0.9958085923856095,0.9958085923856095,0.9929,0.0014628738838327944
70/30,0.7,0.3,Decision Tree,0.985,0.9921452260429394,0.9926650366748166,0.9916259595254711,0.9841999999999999,0.002501999200639361
70/30,0.7,0.3,Random Forest,0.99,0.9947589098532494,0.994411456514146,0.9951066060817896,0.9906,0.0023108440016582892
60/40,0.6,0.4,Logistic Regression,0.992,0.9958093242535359,0.9958093242535359,0.9958093242535359,0.9929,0.0014628738838327944
60/40,0.6,0.4,Decision Tree,0.97875,0.9888436802730017,0.9866422210581456,0.9910549855301236,0.9841999999999999,0.002501999200639361
60/40,0.6,0.4,Random Forest,0.99125,0.9954158480681073,0.9952854897852279,0.9955462405030129,0.9906,0.0023108440016582892
50/50,0.5,0.5,Logistic Regression,0.9924,0.9960192750890425,0.9962279966471081,0.9958106409719313,0.9929,0.0014628738838327944
50/50,0.5,0.5,Decision Tree,0.9834,0.9912897470878371,0.989731768650461,0.9928526382173639,0.9841999999999999,0.002501999200639361
50/50,0.5,0.5,Random Forest,0.9918,0.9957027565244734,0.9953897736797989,0.9960159362549801,0.9906,0.0023108440016582892
